id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,metal_spikes,play_five,c_holes,c_type,year_built,c_designer,c_season,guest_policy,dress_code,green_fees,weekend_rates,adv_tee,Description,website,Tier,Cash,Card,Member Charge,Member Charge Only,description
1572,Owatonna Country Club,Lemond Rd,Owatonna,MN,55060,,USA,Steele,507,27147,,,CST,Y,44.0575,44.008226,-93.2082,-93.3427675,(507) 451-6120,Y,Y,18,Semi-private,1973,Joel Goldstrand,Apr 1 to Nov 1,Open,"No denim, collared shirt and bermuda shorts required",$22.00 - $40.00,$40 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/8335,,,,,,
1573,Brookside Resort,County Highway 50,Park Rapids,MN,56470,,USA,Hubbard,218,27057,,,CST,Y,46.9966,47.0332121,-95.0029,-95.1897478,(218) 732-4093,Y,Y,9,Resort,1972,,May 1 to Oct 1,Open,Shirt and shoes required,$8.00 - $12.00,$12 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/8336,,,,,,
1575,Headwaters Golf & Country Club,Township Road 1,Park Rapids,MN,56470,,USA,Hubbard,218,27057,,,CST,Y,46.9966,46.8926157,-95.0029,-95.0605837,(218) 732-4832,N,N,18,Semi-private,1920,,Apr 1 to Nov 1,Open,Shirt and shoes required,$18.00 - $32.00,$28 wknd,60 days,,,,,,,,
1576,Koronis Hills Golf Club,Hwy 23 W,Paynesville,MN,56362,,USA,Stearns,320,27145,6980,,CST,Y,45.4234,,-94.7147,,(320) 243-4111,Y,Y,18,Semi-private,1930,,Apr 1 to Nov 1,Open,No dress code,$15.00 - $23.00,$23 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/8339,,,,,,
1580,Swan Lake Country Club,65 Old Highway 169,Nashwauk,MN,55769,,USA,Itasca,218,27061,,,CST,Y,47.5025,47.3988873,-93.3734,-93.0754821,(218) 885-3543,Y,Y,9,Semi-private,1929,,Apr 1 to Nov 1,Open,No tank tops or cutoffs,$11.50 - $19.50,$19.50 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/8343,,,,,,
1585,Pine City Country Club,4th Ave SW,Pine City,MN,55063,,USA,Pine,320,27115,,,CST,Y,45.8356,45.8255912,-92.9649,-92.9761504,(320) 629-3848,N,Y,9,Semi-private,1971,,Apr 1 to Nov 1,Open,No tank tops or cutoffs,$10.50 - $18.00,$18 wknd,30 days,,https://www.golfpass.com/travel-advisor/xgo/8349,,,,,,
1587,Driftwood Resort,County Road 15,Pine River,MN,56474,,USA,Cass,218,27021,,,CST,Y,46.6535,46.716547,-94.5389,-94.29561,(218) 568-4221,Y,N,9,Resort,1970,Ted & Sue Leagjeld,Apr 1 to Nov 1,Open,Shirt and shoes required,$12.00 - $15.00,$15 wknd,1 days,,,,,,,,
1589,Pine River Country Club,2370 28th Ave SW,Pine River,MN,56474,,USA,Cass,218,27021,,,CST,Y,46.6535,46.719231,-94.5389,-94.427305,(218) 587-4774,N,Y,9,Semi-private,1983,,Apr 1 to Nov 1,Open,Shirt and shoes required,$13.00 - $22.00,$35 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/7339,,,,,,
1590,Pipestone Country Club,8th Ave SE,Pipestone,MN,56164,,USA,Pipestone,507,27117,,,CST,Y,44.066,43.995136,-96.3302,-96.307474,(507) 825-2592,Y,Y,9,Semi-private,1948,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.00 - $20.00,$20 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/8354,,,,,,
1596,Princeton Golf Club,"Princeton Golf Club Grill &amp; Br, 301 Golf Course Rd",Princeton,MN,55371,,USA,Mille Lacs,763,27095,,,CST,Y,45.6019,47.9222791,-93.6306,-97.0754396,(800) 882-0698,Y,N,18,Semi-private,1950,Joel Goldstrand,Apr 1 to Nov 1,Open,Shirt and shoes required,$14.00 - $26.00,$26 wknd,5 days,,https://www.golfpass.com/travel-advisor/xgo/26701,,,,,,
1604,Oak Knolls Golf Club,Minnesota 32,Red Lake Falls,MN,56750,,USA,Red Lake,218,27125,,,CST,Y,47.8717,47.8615124,-96.2666,-96.2664909,(218) 253-4423,Y,N,9,Semi-private,0,,Apr 1 to Nov 1,Open,No dress code,$8.00 - $15.00,$15 wknd,Yes,,,,,,,,
1606,Red Wing Country Club,1311 W 6th St,Red Wing,MN,55066,,USA,Goodhue,651,27049,,,CST,Y,44.5193,44.5584013,-92.5587,-92.5468939,(651) 388-9524,Y,Y,18,Semi-private,1915,,Apr 1 to Nov 1,Open,"Collared shirt, no cutoffs, denim OK",$20.00 - $34.00,$34 wknd,3 days,,,,,,,,
1607,Redwood Falls Golf Club,101 Oak St,Redwood Falls,MN,56283,,USA,Redwood,507,27127,,,CST,Y,44.4995,44.5498294,-95.1064,-95.1219683,(507) 637-8901,Y,N,9,Semi-private,1923,,Apr 1 to Oct 31,Open,Shirt and shoes required,$14.00 - $22.00,$22 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8370,,,,,,
1611,Maple Valley Golf & Country Club,8600 Maple Valley Rd SE,Rochester,MN,55904,,USA,Olmsted,507,27109,6820,,CST,Y,43.9943,43.895938,-92.3828,-92.37578,(507) 285-9100,Y,Y,18,Semi-private,1964,Wayne Idso,Apr 1 to Nov 30,Open,Shirt and shoes required,$16.00 - $26.00,$24 wknd,5 days,,https://www.golfpass.com/travel-advisor/xgo/8376,,,,,,
1615,Rochester Golf & Country Club,3100 Country Club Rd SW,Rochester,MN,55902,,USA,Olmsted,507,27109,6820,,CST,Y,43.9768,44.0225346,-92.5101,-92.5121414,(507) 282-3170,Y,N,18,Private,1916,A. W. Tillinghast,Apr 1 to Nov 1,Reciprocal,"No denim, collared shirt and bermuda shorts required",$40.00 - $55.00,$55 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/8378,,,,,,
1617,Willow Creek Golf Course,1700 48th St SW,Rochester,MN,55902,,USA,Olmsted,507,27109,6820,,CST,Y,43.9768,43.951116,-92.5101,-92.485761,(507) 285-0305,Y,Y,18,Semi-private,1974,William J. Spear,Mar 18 to Nov 15,Open,Shirt and shoes required,$12.00 - $18.50,$56 wknd,5 days,,https://www.golfpass.com/travel-advisor/xgo/8380,,,,,,
1626,St. James Country Club,Minnesota 60,St James,MN,56081,,USA,Watonwan,507,27165,,,CST,Y,43.9911,43.9685782,-94.6111,-94.6190395,(507) 375-7484,Y,Y,18,Semi-private,1998,Joel Goldstrand,Apr 1 to Nov 1,Open,Shirt and shoes requi,$12.00 - $25.00,,,,https://www.golfpass.com/travel-advisor/xgo/22209,,,,,,
1631,Hillcrest Country Club,2200 Larpenteur Ave E,St Paul,MN,55109,,USA,Ramsey,651,27123,5120,,CST,Y,45.0145,44.9919788,-93.0259,-93.0075947,(651) 771-1515,Y,Y,18,Private,1921,Bill Kalpeper,Apr 1 to Nov 1 (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shorts required",$55.00 - $55.00,$50 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/11107,,,,,,
1634,Midland Hills Country Club,2001 Fulham St,St Paul,MN,55113,,USA,Ramsey,651,27123,5120,,CST,Y,45.0123,45.0013716,-93.1559,-93.1968703,(651) 631-2017,Y,Y,18,Private,1919,Seth Raynor,Apr 1 to Nov 1,Closed,"No denim, collared shirt and bermuda shorts required",$35.00 - $65.00,$65 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/8398,,,,,,
1636,Town & Country Club,300 N Mississippi River Blvd,St Paul,MN,55104,,USA,Ramsey,651,27123,5120,,CST,Y,44.9545,44.9500156,-93.1622,-93.200033,(651) 646-7121,Y,Y,18,Private,1890,George McRee,Apr 1 to Nov 1,Closed,"No denim, collared shirt and bermuda shorts required",$70.00 - $70.00,$70 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/18135,,,,,,
1637,Shoreland Country Club,County Road 21,St Peter,MN,56082,,USA,Nicollet,507,27103,,,CST,Y,44.3784,44.3061456,-94.0784,-93.9367536,(507) 931-3470,Y,Y,18,Semi-private,1925,,Apr 1 to Nov 1 (closed on Mondays),Open,Shirt and shoes required,$14.00 - $26.00,$26 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/8401,,,,,,
1640,Wapicada Golf Club,4448 15th St Ne,Sauk Rapids,MN,56379,,USA,Benton,320,27009,6980,,CST,Y,45.6355,45.64785,-94.0842,-94.1010856,(320) 251-7804,Y,N,18,Semi-private,1957,,Apr 1 to Oct 31,Open,Shirt and shoes required,$15.00 - $25.00,$25 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/8404,,,,,,
1643,Sauk Centre Country Club,Lake Shore Dr,Sauk Centre,MN,56378,,USA,Stearns,320,27145,6980,,CST,Y,45.7042,45.7500075,-95.0184,-94.9575878,(320) 352-3860,Y,N,9,Semi-private,1929,Tom Dardon,Apr 1 to Nov 1,Open,No dress code,$14.00 - $21.00,$21 wknd,7 days,,,,,,,,
1645,Fox Lake Golf Club,Fox Lake Refuge,Sherburn,MN,56171,,USA,Martin,507,27091,,,CST,Y,43.6721,43.6860195,-94.737,-94.7303397,(507) 764-8381,Y,N,9,Semi-private,1951,,Apr 1 to Nov 1,Open,No dress code,$9.00 - $15.00,$15 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/8409,,,,,,
1647,Minnetonka Country Club,24575 Smithtown Rd,Shorewood,MN,55331,,USA,Hennepin,952,27053,5120,,CST,Y,44.8924,44.896899,-93.5895,-93.594156,(952) 474-9571,Y,Y,18,Private,1916,Tom Bendelow,Apr 1 to Nov 15,Reciprocal,"No denim, collared shirt and bermuda shorts required",$35.00 - $80.00,$70 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/8299,,,,,,
1649,Slayton Country Club,E 2nd Ave,Hadley,MN,56151,,USA,Murray,507,27101,,,CST,Y,44.0326,44.0012443,-95.9478,-95.8523429,(507) 836-8154,Y,N,9,Semi-private,1950,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.50 - $17.00,$17 wknd,30 days,,https://www.golfpass.com/travel-advisor/xgo/8411,,,,,,
1650,Sleepy Eye Golf Club,Us Highway 14,Sleepy Eye,MN,56085,,USA,Brown,507,27015,,,CST,Y,44.2501,44.289645,-94.7374,-94.745662,(507) 794-5249,Y,Y,9,Semi-private,1934,,Mar 1 to Oct 1,Open,Shirt and shoes required,$12.00 - $25.00,$25 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8412,,,,,,
1651,Little Crow Country Club (Oaks Course at Little Crow Country Club),Minnesota 23,Spicer,MN,56288,,USA,Kandiyohi,320,27067,,,CST,Y,45.245,45.23704,-94.9496,-94.9398116,(320) 354-2296,Y,Y,27,Semi-private,1969,,Apr 1 to Nov 1,Open,Shirt and shoes required,$15.00 - $30.00,,,,,,,,,,
1652,Root River Country Club,Rural Route 1,Spring Valley,MN,55975,,USA,Fillmore,507,27045,,,CST,Y,43.662,43.686908,-92.3356,-92.3890587,(507) 346-2501,Y,Y,9,Semi-private,1962,,Apr 1 to Nov 1,Open,No dress code,$12.00 - $17.00,$17 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/8415,,,,,,
1653,Springfield Golf Club,S O'Connell Ave,Springfield,MN,56087,,USA,Brown,507,27015,,,CST,Y,44.204,44.2394444,-94.9908,-94.9786111,(507) 723-5888,Y,N,9,Semi-private,0,,Apr 1 to Nov 1,Open,Shirt and shoes required,$11.00 - $22.00,$55 wknd,Yes,,,,,,,,
1654,St. Charles Golf Club,1920 Gladiola Dr,St Charles,MN,55972,,USA,Winona,507,27169,,,CST,Y,43.9334,43.9608913,-92.0195,-92.0505017,(507) 932-5444,Y,Y,18,Semi-private,1991,Wayne Idso,Apr 1 to Nov 30,Open,Shirt and shoes required,$16.00 - $26.00,,,,https://www.golfpass.com/travel-advisor/xgo/5514,,,,,,
1656,St. Cloud Country Club,301 Montrose Rd,St Cloud,MN,56301,,USA,Stearns,320,27145,6980,,CST,Y,45.4891,45.518553,-94.2456,-94.1468084,(320) 253-1333,Y,N,18,Private,1920,Tim Murphy,Apr 1 to Nov 1,Reciprocal,"No denim, collared shirt and bermuda shorts required",$75.00 - $75.00,$75 wknd,6 days,,https://www.golfpass.com/travel-advisor/xgo/968,,,,,,
1662,Maplebrook Golf Course,701 1st St E,Stewartville,MN,55976,,USA,Olmsted,507,27109,6820,,CST,Y,43.8884,43.8555396,-92.383,-92.4770532,(507) 533-9526,N,Y,9,Semi-private,1974,,Apr 1 to Nov 1,Open,Shirt and shoes required,$9.00 - $14.00,$14 wknd,7 days,,,,,,,,
1665,Indian Hills Golf Course,6667 Keats Ave N,Stillwater,MN,55082,,USA,Washington,651,27163,5120,,CST,Y,45.0713,45.044386,-92.8375,-92.899366,(651) 770-2366,Y,N,18,Private,1971,Don Herfort,Apr 1 to Nov 1 (closed on Mondays),Reciprocal,"Collared shirt, no cutoffs, denim OK",$20.00 - $40.00,$17 wknd,2 days,"Indian Hills Golf Course is a nine-hole, regulation-length course that measures 2,585 yards from the back tees. Located in the tranquil community of Granville, the course sits on the western part of the Appalachian Plateau. Experienced golfers will not find the golf course to be overly challenging by any means but it is good for a quick, casual round. With three sets of tees, it provides good practice for players of any skill level. The par-35 layout has a diverse mix of two par 3s and par 5s each, and five par 4s. Indian Hills Golf Course is fair and gentle enough for even the most amateur beginners. Just minutes from the course are Granville's historic offerings, including 18th-century churches and state buildings, many of which are listed on the National Register of Historic Places.",,,,,,,
1667,Sawmill Golf Club,11177 McKusick Rd N,Stillwater,MN,55082,,USA,Washington,651,27163,5120,,CST,Y,45.0713,45.0781792,-92.8375,-92.8807706,(651) 439-7862,Y,Y,18,Semi-private,1984,Dan Pohl,Apr 1 to Nov 1,Open,"No denim, collared shirt and bermuda shorts required",$16.00 - $35.00,$35 wknd,4 days,,https://www.golfpass.com/travel-advisor/xgo/893,,,,,,
1668,Stillwater Country Club,1421 4th St N,Stillwater,MN,55082,,USA,Washington,651,27163,5120,,CST,Y,45.0713,45.069944,-92.8375,-92.811626,(651) 439-7992,Y,Y,18,Private,1957,Paul N. Coates,Apr 1 to Nov 1,Closed,"No denim, collared shirt and bermuda shorts required",$20.00 - $55.00,$50 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/11229,,,,,,
1669,StoneRidge Golf Club,13600 N Hudson Blvd,Stillwater,MN,55082,,USA,Washington,651,27163,5120,,CST,Y,45.0713,44.954904,-92.8375,-92.800001,(651) 436-4653,Y,N,18,Semi-private,2000,Bobby Weed,Apr 1 to Nov 30,Open,"No denim, collared shirt required",$40.00 - $79.00,$79 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/26141,,,,,,
1670,"Thief River Falls Golf Club, The",Minnesota 32,Thief River Falls,MN,56701,,USA,Pennington,218,27113,,,CST,Y,48.0818,48.1508382,-96.1186,-96.1900723,(218) 681-2955,Y,Y,18,Semi-private,1930,Tom Haugen,Apr 1 to Nov 1,Open,"Collared shirt, no other requirements",$11.00 - $22.50,$22.50 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8427,,,,,,
1671,The Wilderness at Fortune Bay,1450 Bois Forte Rd,Tower,MN,55790,,USA,Saint Louis,218,27137,2240,,CST,Y,47.7992,47.8277961,-92.3042,-92.30775,(800) 992-4680,Y,Y,18,Resort,2004,Jeff Brauer,May 1 to Oct 20,,"Collared shirt, no cutoffs, denim OK",$40.00 - $75.00,,,,https://www.golfpass.com/travel-advisor/xgo/32090,,,,,,
1672,Tracy Country Club,County Highway 14,Tracy,MN,56175,,USA,Lyon,507,27083,,,CST,Y,44.2253,44.224206,-95.6512,-95.623813,(507) 629-4666,Y,N,9,Semi-private,0,,Apr 1 to Nov 1,Open,Shirt and shoes required,$9.65 - $17.00,$17 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8428,,,,,,
1674,Tyler Community Golf Club,County Road 7,Tyler,MN,56178,,USA,Lincoln,507,27081,,,CST,Y,44.2932,44.2679518,-96.1214,-96.1347674,(507) 247-3242,Y,Y,9,Semi-private,1948,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.00 - $17.00,$17 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/8430,,,,,,
1677,Coffee Mill Golf & Country Club,215 Skyline Dr,Wabasha,MN,55981,,USA,Wabasha,651,27157,,,CST,Y,44.3588,44.3550412,-92.0742,-92.0331399,(651) 565-4332,N,Y,9,Semi-private,1966,,Apr 1 to Nov 1,Open,No dress code,$11.00 - $22.00,$22 wknd,Yes,,,,,,,,
1678,Island View Golf Club,9150 Island View Rd,Waconia,MN,55387,,USA,Carver,952,27019,5120,,CST,Y,44.8587,44.8624153,-93.7796,-93.7516694,(612) 442-6116,Y,N,18,Semi-private,1962,,Apr 1 to Nov 1,Open,No tank tops or cutoffs,$35.00 - $39.00,$39 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/8434,,,,,,
1679,Wadena Golf Club,U.S. 71,Wadena,MN,56482,,USA,Wadena,218,27159,,,CST,Y,46.4558,46.4567778,-95.094,-95.1140196,(218) 631-7718,N,N,18,Semi-private,1996,Joel Goldstrand,Apr 1 to Nov 1,Open,Shirt and shoes required,$15.00 - $25.00,$25 wknd,2 days,,,,,,,,
1681,Tianna Country Club,Minnesota 34,Walker,MN,56484,,USA,Cass,218,27021,,,CST,Y,47.0507,47.0809939,-94.6083,-94.5890609,(218) 547-1712,N,N,18,Semi-private,1925,Ernest Tardiff & William Kidd,Apr 1 to Nov 1,Open,Shirt and shoes required,$17.00 - $34.00,$34 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/977,,,,,,
1683,Riverside Golf Club,S Main St,Warren,MN,56762,,USA,Marshall,218,27089,,,CST,Y,48.2512,48.187935,-96.7287,-96.7672495,(218) 745-4028,Y,Y,9,Semi-private,0,,Apr 1 to Nov 1,Open,Shirt and shoes required,$7.00 - $12.00,$15 wknd,7 days,,,,,,,,
1684,Warroad Estates Golf Course,201 Birch Dr N,Warroad,MN,56763,,USA,Roseau,218,27135,,,CST,Y,48.9041,48.9353319,-95.4042,-95.3322319,(218) 386-2025,N,Y,18,Semi-private,1979,,Apr 1 to Nov 1,Open,Shirt and shoes required,$11.00 - $18.00,$18 wknd,365 days,Situated by the scenic Lake of Woods the course is very much a challenge. It has water into play on 11 holes and there are mature trees surrounding the course.,https://www.golfpass.com/travel-advisor/xgo/8437,,,,,,
1685,Waseca Lakeside Golf Club,37160 Clear Lake Dr,Waseca,MN,56093,,USA,Waseca,507,27161,,,CST,Y,44.0806,44.0816011,-93.5062,-93.477531,(507) 835-2574,Y,N,18,Semi-private,1969,,Apr 1 to Nov 1 (closed on Mondays),Open,Shirt and shoes required,$15.00 - $30.00,$30 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8438,,,,,,
1688,Wayzata Country Club,200 Wayzata Blvd W,Wayzata,MN,55391,,USA,Hennepin,952,27053,5120,,CST,Y,44.9781,44.977975,-93.5263,-93.528717,(612) 475-9769,Y,N,18,Private,1958,Robert B. Harris,Apr 15 to Nov 1,Closed,"No denim, collared shirt and bermuda shorts required",$50.00 - $95.00,$95 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/8441,,,,,,
1689,Woodhill Country Club,200 Woodhill Rd,Wayzata,MN,55391,,USA,Hennepin,952,27053,5120,,CST,Y,44.9781,44.975223,-93.5263,-93.5455549,(612) 473-5024,Y,Y,18,Private,1915,Donald Ross,Apr 1 to Nov 1,Closed,"No denim, collared shirt and bermuda shorts required",$40.00 - $75.00,$75 wknd,7 days,"Woodhill Country Club is a Peter Matkovich designed 18 hole championship course with stunning scenery and dramatic natural features. Voted the best golf course 2010 & 2011 by Beeld readers, Woodhill challenges all aspects of a golfer's game, yet at the same time provides a distinctly different and enjoyable golfing experience.Complimented by a well stocked state of the art pro shop, with knowledgeable and friendly staff, Woodhill Country Club ensures that the needs of the most discerning golfer are well catered to, and then some. A welcome breather at the cheerful halfway house, leaves one in no doubt that every effort has been made to ensure nothing less than bliss for visitors and members alike. Facilities extend beyond the magnificent array laid on for lovers of golf.",https://www.golfpass.com/travel-advisor/xgo/17876,,,,,,
1691,Southview Country Club,239 E Mendota Rd,West St Paul,MN,55118,,USA,Dakota,651,27037,5120,,CST,Y,44.8976,44.885369,-93.103,-93.072936,(651) 451-6856,Y,Y,18,Private,1919,,Apr 1 to Nov 1 (closed on Mondays),Closed,"No denim, collared shirt and bermuda shorts required",$45.00 - $80.00,$55 wknd,3 days,,https://www.golfpass.com/travel-advisor/xgo/8446,,,,,,
1693,Rolling Hills Golf Club,9 1/2 St,Westbrook,MN,56183,,USA,Cottonwood,507,27033,,,CST,Y,44.1101,44.0453875,-95.4024,-95.4331132,(507) 274-5166,Y,N,9,Semi-private,1971,Ralph Merchant,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.50 - $17.50,$17.50 wknd,Yes,,,,,,,,
1694,Wheaton Country Club,Hwy 27 W,Wheaton,MN,56296,,USA,Traverse,320,27155,,,CST,Y,45.8243,45.9765948,-96.4432,-94.7862506,(320) 563-4079,N,Y,9,Semi-private,1933,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.00 - $18.00,$18 wknd,2 days,,,,,,,,
1698,Eagle Creek Golf Club,1000 26th Ave NE,Willmar,MN,56201,,USA,Kandiyohi,320,27067,,,CST,Y,45.1041,45.1505387,-95.0465,-95.0300608,(320) 235-1166,Y,N,18,Semi-private,1931,,Apr 1 to Nov 1,Open,No tank tops or cutoffs,$15.00 - $29.00,$29 wknd,30 days,"Eagle Creek is a British style course, from the bunkers to the chipping areas. It is a new 18-hole 7,198 yard-Par73 championship Orlando golf course and is located minutes from Orlando International Airport, near Lake Nona. Ron Garl and Howard Swan collaborated to design a course that has an old world charm with modern amenities. Eagle Creek is the first course in Florida to use the technologically advanced Mini-Verde grass, resulting in exceptionally fast and vibrant greens. Eagle Creek is a designated Audubon Silver Signature Course with lush landscaping and challenging play that features over 90 white sand bunkers reminiscent of those found in Scotland and England, with extensive bulkheads embracing water hazards and over 1,500 trees lining its breathtaking fairways.",https://www.golfpass.com/travel-advisor/xgo/15137,,,,,,
1700,Windom Country Club,County Road 13,Windom,MN,56101,,USA,Cottonwood,507,27033,,,CST,Y,43.9264,43.8749865,-95.2282,-95.1340972,(507) 831-3489,Y,N,9,Semi-private,1947,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.00 - $18.00,$18 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/8453,,,,,,
1701,Riverside Town & Country Club,36259 150th St,Winnebago,MN,56098,,USA,Faribault,507,27043,,,CST,Y,43.8036,43.7027104,-94.1433,-94.1500522,(507) 526-2764,Y,N,9,Semi-private,1921,,Apr 1 to Nov 1,Open,Shirt and shoes required,$12.00 - $20.00,$20 wknd,Yes,,https://www.golfpass.com/travel-advisor/xgo/8454,,,,,,
1702,Cedar Valley Golf Course (Grn Monster/Treasure isl Course at Cedar Valley Golf Course),County Road 9,Winona,MN,55987,,USA,Winona,507,27169,,,CST,Y,43.9823,43.96815,-91.6349,-91.5554779,(507) 457-3241,Y,Y,27,Semi-private,1991,,Apr 1 to Nov 1,Open,Shirt and shoes required,$13.00 - $26.00,,,,,,,,,,
1704,Winona Country Club,Pleasant Valley Rd,Winona,MN,55987,,USA,Winona,507,27169,,,CST,Y,43.9823,43.9540522,-91.6349,-91.6166381,(507) 452-3535,Y,N,18,Private,1920,Ben Knight,Apr 1 to Nov 1,Closed,"Collared shirt, no cutoffs, denim OK",$50.00 - $50.00,$50 wknd,Yes,,,,,,,,
1705,Winthrop Golf Club,County Highway 15,Winthrop,MN,55396,,USA,Sibley,507,27143,,,CST,Y,44.5435,44.5462935,-94.3723,-94.3759127,(507) 647-5828,N,Y,9,Semi-private,1927,,Apr 1 to Nov 1,Open,Shirt and shoes required,$10.00 - $20.00,$20 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/7321,,,,,,
1707,Prestwick Golf Club at Wedgewood,9555 Wedgewood Dr,Woodbury,MN,55125,,USA,Washington,651,27163,5120,,CST,Y,44.9197,44.8976369,-92.9392,-92.9125753,(651) 731-4779,N,N,18,Semi-private,1986,THK Associates,Apr 1 to Nov 1,Open,"Collared shirt, no cutoffs, denim OK",$23.00 - $43.00,$43 wknd,5 days,,https://www.golfpass.com/travel-advisor/xgo/978,,,,,,
1709,Worthington Country Club,1414 Liberty Dr,Worthington,MN,56187,,USA,Nobles,507,27105,,,CST,Y,43.698,43.6253413,-95.6043,-95.6228992,(507) 376-4281,Y,N,18,Semi-private,1919,Leo Johnson,Apr 1 to Nov 1,Open,Shirt and shoes required,$20.00 - $35.00,$35 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/8463,,,,,,
1713,Canoa Hills Golf Course,1401 W Calle Urbano,Green Valley,AZ,85614,,USA,Pima,520,4019,8520,,MST,N,31.8307,31.8542511,-111.0345,-110.9937019,(520) 648-1880,N,Y,18,Semi-private,1983,Dave Bennett,Open all year,Open,"No denim, collared shirt and bermuda shorts required",$32.00-$70.00,$70 wknd,7 days,,https://www.golfpass.com/travel-advisor/xgo/15671,,,,,,
1715,Country Club of Green Valley,77 E Paseo De Golf,Green Valley,AZ,85614,,USA,Pima,520,4019,8520,,MST,N,31.8307,31.885509,-111.0345,-110.983101,(520) 625-8831,Y,Y,18,Private,1971,Red Lawrence,Open all year,Reciprocal,"No denim, collared shirt and bermuda shorts required",$12.00-$20.00,$20 wknd,Yes,"The Country Club of Green Valley borders the Santa Cruz River, wandering through the pecan groves that sit along the banks. The golf course is seemingly mild but don't underestimate this 6,628-yard layout. It's a scenic round but it is also a challenging one. Don't be surprised if you find yourself using every club in your bag. Strategically placed bunkers frame every green and water comes into play on six holes. The 14th is arguably the toughest water hole. There is a lake that wraps around three sides of the green and the front is guarded by a bunker to the left and right. In addition to the golf course, Green Valley is also popular for having one of southern Arizona's finest practice facilities, which includes a driving range and chipping and putting areas with a practice bunker.",https://www.golfpass.com/travel-advisor/xgo/14698,,,,,,
1716,Desert Hills Golf Club,2500 S Circulo De Las Lomas,Green Valley,AZ,85622,,USA,Pima,520,4019,8520,,MST,N,31.8664,31.8327835,-110.9931,-111.0108159,(520) 625-5090,Y,Y,18,Private,1982,Dave Bennett,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shorts required",$40.00 ,$40 wknd,1 days,,https://www.golfpass.com/travel-advisor/xgo/14699,,,,,,
1718,Quail Creek Country Club,1425 N Quail View Loop,Green Valley,AZ,85614,,USA,Pima,520,4019,8520,,MST,N,31.8307,31.8913129,-111.0345,-110.9434607,(520) 625-0133,Y,Y,18,Private,1989,Ken Kavanaugh,Open all year (closed on Mondays),Reciprocal,"No denim, collared shirt and bermuda shorts required",$32.00-$47.00,$30 wknd,2 days,,https://www.golfpass.com/travel-advisor/xgo/2297,,,,,,
